X,Y,K,J
14.499999999999998,66.0,1,19.753644710180634
14.499999999999998,66.5,1,18.220352738089392
14.499999999999998,67.0,1,20.019673402087253
14.499999999999998,67.5,1,18.0734807222831
14.499999999999998,68.0,1,19.878984068674562
14.499999999999998,68.5,1,18.081923237865574
14.499999999999998,69.0,1,19.347648408628565
14.499999999999998,69.5,1,18.342820621310786
14.499999999999998,70.0,1,19.334538408556128
14.499999999999998,70.5,1,18.647654340805865
14.599999999999998,61.0,1,18.66969125932209
14.599999999999998,61.5,1,18.805520567545535
14.599999999999998,62.0,1,19.38433449086815
14.599999999999998,62.5,1,19.09273752352642
14.599999999999998,63.0,1,19.235490271073015
14.599999999999998,63.5,1,19.365946834778892
14.599999999999998,64.0,1,19.24256489241959
14.599999999999998,64.5,1,18.394506485018212
14.599999999999998,65.0,1,19.505475604302646
14.599999999999998,65.5,1,18.64831370891105
14.599999999999998,66.0,1,19.801238286252815
14.599999999999998,66.5,1,18.251630745759265
14.599999999999998,67.0,1,20.05962132545022
14.599999999999998,67.5,1,18.110605535312747
14.599999999999998,68.0,1,19.946617658866053
14.599999999999998,68.5,1,18.118987380722192
14.599999999999998,69.0,1,19.373122136250466
14.599999999999998,69.5,1,18.3976946085454
14.599999999999998,70.0,1,19.377548774537757
14.599999999999998,70.5,1,18.684162498288234
14.699999999999998,61.0,1,18.686107378289883
14.699999999999998,61.5,1,18.83103409484734
14.699999999999998,62.0,1,19.418611389973226
14.699999999999998,62.5,1,19.113031090952735
14.699999999999998,63.0,1,19.2568602686391
14.699999999999998,63.5,1,19.384784559520064
14.699999999999998,64.0,1,19.266375934855375
14.699999999999998,64.5,1,18.40997816560151
14.699999999999998,65.0,1,19.529963850202805
14.699999999999998,65.5,1,18.677940028573232
14.699999999999998,66.0,1,19.829081260373805
14.699999999999998,66.5,1,18.27585489758692
14.699999999999998,67.0,1,20.079940322736384
14.699999999999998,67.5,1,18.130903128773966
14.699999999999998,68.0,1,19.96475082646871
14.699999999999998,68.5,1,18.13973324748977
14.699999999999998,69.0,1,19.394797738316733
14.699999999999998,69.5,1,18.414341813843997
14.699999999999998,70.0,1,19.3984714543147
14.699999999999998,70.5,1,18.717688313916263
14.799999999999997,61.0,1,19.12207520847262
14.799999999999997,61.5,1,18.859990189769608
14.799999999999997,62.0,1,19.436237941799824
14.799999999999997,62.5,1,19.14008797393783
14.799999999999997,63.0,1,19.28324937142587
14.799999999999997,63.5,1,19.407102751032703
14.799999999999997,64.0,1,19.292467181782992
14.799999999999997,64.5,1,18.43064088173571
14.799999999999997,65.0,1,19.55445234966016
14.799999999999997,65.5,1,18.72800591337778
14.799999999999997,66.0,1,19.850164040978964
14.799999999999997,66.5,1,18.291238378964845
14.799999999999997,67.0,1,20.103953096646254
14.799999999999997,67.5,1,18.150794226686955
14.799999999999997,68.0,1,19.989570357251594
14.799999999999997,68.5,1,18.160939492395705
14.799999999999997,69.0,1,19.41307742074734
14.799999999999997,69.5,1,18.448710493003937
14.799999999999997,70.0,1,19.429168448998077
14.799999999999997,70.5,1,18.759050022379665
14.899999999999997,61.0,1,19.165699420775333
14.899999999999997,61.5,1,18.91617799969581
14.899999999999997,62.0,1,19.455060611906163
14.899999999999997,62.5,1,19.17068101325173
14.899999999999997,63.0,1,19.31208951447936
14.899999999999997,63.5,1,19.470571578319305
14.899999999999997,64.0,1,19.326838214130476
14.899999999999997,64.5,1,18.47100193791652
14.899999999999997,65.0,1,19.58271710691959
14.899999999999997,65.5,1,18.757470950127708
14.899999999999997,66.0,1,19.88336568052505
14.899999999999997,66.5,1,18.322000631493793
14.899999999999997,67.0,1,20.159706814536275
14.899999999999997,67.5,1,18.182115930818586
14.899999999999997,68.0,1,20.028769051762843
14.899999999999997,68.5,1,18.20107958112075
14.899999999999997,69.0,1,19.439266353934993
14.899999999999997,69.5,1,18.477918530316202
14.899999999999997,70.0,1,19.457784537334216
14.899999999999997,70.5,1,18.786852386914205
14.999999999999996,61.0,1,19.191410782519746
14.999999999999996,61.5,1,18.93569119644277
14.999999999999996,62.0,1,19.074266407763595
14.999999999999996,62.5,1,19.199869429991487
14.999999999999996,63.0,1,19.188425763362655
